****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 78x1570
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.009	Loglikelihood: -39330.4	(delta): 145146
2 (EM) 	Elapsed: 0.008	Loglikelihood: -36409.6	(delta): 2920.78
3 (EM) 	Elapsed: 0.007	Loglikelihood: -35809.1	(delta): 600.469
4 (EM) 	Elapsed: 0.007	Loglikelihood: -35471.7	(delta): 337.426
5 (EM) 	Elapsed: 0.006	Loglikelihood: -35237.1	(delta): 234.618
Initial loglikelihood: -35237.1
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.018	Loglikelihood: -34896.2	(delta): 340.884
2 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -34610.6	(delta): 285.544
3 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -32417	(delta): 2193.67
4 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -31623.4	(delta): 793.594
5 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -31072	(delta): 551.361
6 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -30740	(delta): 331.98
7 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -30220.5	(delta): 519.498
8 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -29870.3	(delta): 350.258
9 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -29621.4	(delta): 248.878
10 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -29382	(delta): 239.348
11 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -29235.3	(delta): 146.695
12 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -28902.8	(delta): 332.595
13 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -28439.5	(delta): 463.266
14 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -28139.9	(delta): 299.592
15 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -27920.4	(delta): 219.536
16 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -27802.9	(delta): 117.438
17 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -27625.1	(delta): 177.818
18 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -27513.2	(delta): 111.881
19 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -27435.9	(delta): 77.2926
20 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -27379.5	(delta): 56.4402
21 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -27284.1	(delta): 95.4393
22 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -27193.5	(delta): 90.5953
23 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -26943.5	(delta): 249.934
24 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -26704.4	(delta): 239.122
25 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -26609.3	(delta): 95.12
26 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -26547.2	(delta): 62.1005
27 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -26448.9	(delta): 98.2794
28 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -26361.3	(delta): 87.5823
29 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -26231.5	(delta): 129.785
30 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -26077	(delta): 154.518
31 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -26022.8	(delta): 54.2041
32 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25930.7	(delta): 92.1394
33 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25897.6	(delta): 33.0492
34 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25880.5	(delta): 17.0794
35 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25865.3	(delta): 15.2687
36 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25850.5	(delta): 14.7436
37 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25819.5	(delta): 31.0007
38 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25791.8	(delta): 27.68
39 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25748.7	(delta): 43.1059
40 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25728	(delta): 20.7256
41 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25712.5	(delta): 15.4973
42 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25708	(delta): 4.51295
43 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25701.2	(delta): 6.84753
44 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25694.4	(delta): 6.71252
45 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25689.2	(delta): 5.23276
46 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25687	(delta): 2.16862
47 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25684.5	(delta): 2.57313
