****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 43x756
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.02	Loglikelihood: -14993.3	(delta): 28684.2
2 (EM) 	Elapsed: 0.011	Loglikelihood: -13678.8	(delta): 1314.55
3 (EM) 	Elapsed: 0.005	Loglikelihood: -13217.6	(delta): 461.173
4 (EM) 	Elapsed: 0.005	Loglikelihood: -12825.3	(delta): 392.277
5 (EM) 	Elapsed: 0.005	Loglikelihood: -12438.9	(delta): 386.415
Initial loglikelihood: -12438.9
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -11659.9	(delta): 779.022
2 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -10937.3	(delta): 722.6
3 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -8774.75	(delta): 2162.52
4 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -8395.83	(delta): 378.923
5 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -8052.14	(delta): 343.695
6 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -7256.28	(delta): 795.859
7 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -6498.44	(delta): 757.836
8 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -6103.55	(delta): 394.89
9 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -5916.54	(delta): 187.014
10 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -5679.47	(delta): 237.072
11 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -5548.45	(delta): 131.016
12 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -5408.95	(delta): 139.497
13 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -5277.88	(delta): 131.071
14 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -5117.41	(delta): 160.468
15 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -5040.26	(delta): 77.1499
16 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -4926.6	(delta): 113.662
17 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -4871.68	(delta): 54.9231
