****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 41x1060
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.019	Loglikelihood: -19223	(delta): 40245.6
2 (EM) 	Elapsed: 0.016	Loglikelihood: -17498.6	(delta): 1724.36
3 (EM) 	Elapsed: 0.017	Loglikelihood: -17009.3	(delta): 489.288
4 (EM) 	Elapsed: 0.015	Loglikelihood: -16675.1	(delta): 334.181
5 (EM) 	Elapsed: 0.016	Loglikelihood: -16407.8	(delta): 267.312
Initial loglikelihood: -16407.8
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -15968.7	(delta): 439.133
2 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -15566.5	(delta): 402.251
3 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -14444.1	(delta): 1122.32
4 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -14090.7	(delta): 353.448
5 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -13860.1	(delta): 230.562
6 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -13101.6	(delta): 758.547
7 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -12891.6	(delta): 209.937
8 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12700.9	(delta): 190.686
9 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12628.8	(delta): 72.1701
10 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12573.1	(delta): 55.7211
11 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12542.1	(delta): 30.923
12 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12477.1	(delta): 64.9887
13 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12402.8	(delta): 74.394
14 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12345.8	(delta): 56.9204
15 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12314.4	(delta): 31.4632
