****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 41x1060
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.017	Loglikelihood: -19311.2	(delta): 39327.9
2 (EM) 	Elapsed: 0.015	Loglikelihood: -17619.2	(delta): 1692.01
3 (EM) 	Elapsed: 0.014	Loglikelihood: -17161.2	(delta): 457.961
4 (EM) 	Elapsed: 0.013	Loglikelihood: -16848.7	(delta): 312.552
5 (EM) 	Elapsed: 0.012	Loglikelihood: -16597.8	(delta): 250.93
Initial loglikelihood: -16597.8
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.029	Loglikelihood: -16176	(delta): 421.757
2 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -15796	(delta): 380.038
3 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -14357.1	(delta): 1438.81
4 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -14019.9	(delta): 337.269
5 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -13771.1	(delta): 248.81
6 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12963.9	(delta): 807.152
7 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -12817.9	(delta): 146.008
8 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12664.9	(delta): 152.984
9 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12586	(delta): 78.9272
10 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12518.9	(delta): 67.1188
