****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 43x1117
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.018	Loglikelihood: -20788.4	(delta): 44119.9
2 (EM) 	Elapsed: 0.016	Loglikelihood: -18972.6	(delta): 1815.87
3 (EM) 	Elapsed: 0.017	Loglikelihood: -18502.3	(delta): 470.304
4 (EM) 	Elapsed: 0.017	Loglikelihood: -18197.9	(delta): 304.332
5 (EM) 	Elapsed: 0.017	Loglikelihood: -17957.1	(delta): 240.846
Initial loglikelihood: -17957.1
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.03	Loglikelihood: -17565.7	(delta): 391.428
2 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -17231.9	(delta): 333.802
3 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -15814.9	(delta): 1417
4 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -15498.5	(delta): 316.313
5 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -14757.7	(delta): 740.885
6 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -14472.7	(delta): 284.977
7 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -14024.2	(delta): 448.44
8 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -13839.3	(delta): 184.969
9 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -13657.8	(delta): 181.484
10 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -13560.7	(delta): 97.052
11 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -13445.2	(delta): 115.501
12 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -13358.9	(delta): 86.3285
13 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -13203.2	(delta): 155.708
14 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -13130.4	(delta): 72.8052
15 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -13036.7	(delta): 93.6512
16 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12978.5	(delta): 58.1963
17 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12919.6	(delta): 58.9662
18 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12883.9	(delta): 35.6888
19 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12858.8	(delta): 25.0853
20 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12821.9	(delta): 36.8631
21 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12790	(delta): 31.959
22 (QN/EM) 	Elapsed: 0.021	Loglikelihood: -12775.6	(delta): 14.4062
