****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 43x1117
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.008	Loglikelihood: -20715.3	(delta): 45802
2 (EM) 	Elapsed: 0.006	Loglikelihood: -18859.2	(delta): 1856.11
3 (EM) 	Elapsed: 0.006	Loglikelihood: -18360.2	(delta): 498.939
4 (EM) 	Elapsed: 0.006	Loglikelihood: -18033.8	(delta): 326.417
5 (EM) 	Elapsed: 0.006	Loglikelihood: -17776.1	(delta): 257.737
Initial loglikelihood: -17776.1
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -17364.3	(delta): 411.81
2 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -17020.6	(delta): 343.642
3 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -15776.3	(delta): 1244.34
4 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -15498.4	(delta): 277.906
5 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -15296.1	(delta): 202.319
6 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14887.3	(delta): 408.753
7 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14654.3	(delta): 233.02
8 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14444.4	(delta): 209.916
9 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14354.8	(delta): 89.5783
10 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14245.8	(delta): 109.009
11 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14156	(delta): 89.8141
12 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13995.2	(delta): 160.718
13 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13947.9	(delta): 47.3183
14 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13877.3	(delta): 70.6214
15 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13832.9	(delta): 44.4055
16 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13799.6	(delta): 33.2926
17 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13778.4	(delta): 21.2004
18 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13745.9	(delta): 32.5151
19 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13673	(delta): 72.9021
20 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13634.5	(delta): 38.5053
21 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13613.8	(delta): 20.6862
22 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13598.8	(delta): 15.0056
23 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13585.1	(delta): 13.6933
24 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -13579.2	(delta): 5.86213
