****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 44x1167
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.009	Loglikelihood: -21724.4	(delta): 50211.5
2 (EM) 	Elapsed: 0.008	Loglikelihood: -19933.2	(delta): 1791.22
3 (EM) 	Elapsed: 0.008	Loglikelihood: -19528.4	(delta): 404.807
4 (EM) 	Elapsed: 0.008	Loglikelihood: -19295.1	(delta): 233.264
5 (EM) 	Elapsed: 0.007	Loglikelihood: -19129.8	(delta): 165.324
Initial loglikelihood: -19129.8
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.02	Loglikelihood: -18895.4	(delta): 234.397
2 (QN/EM) 	Elapsed: 0.018	Loglikelihood: -18718.3	(delta): 177.076
3 (QN/EM) 	Elapsed: 0.019	Loglikelihood: -17811.7	(delta): 906.647
4 (QN/EM) 	Elapsed: 0.017	Loglikelihood: -17501.2	(delta): 310.508
5 (QN/EM) 	Elapsed: 0.016	Loglikelihood: -17076.7	(delta): 424.473
6 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -16450.3	(delta): 626.408
7 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -16065.6	(delta): 384.685
8 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -15833.7	(delta): 231.878
9 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -15389.2	(delta): 444.528
10 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -15183	(delta): 206.169
11 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -15055.7	(delta): 127.298
12 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14987.6	(delta): 68.1746
13 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14920.4	(delta): 67.1275
14 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14866.1	(delta): 54.3479
15 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14838.9	(delta): 27.2475
16 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14808.8	(delta): 30.019
17 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14795.8	(delta): 13.0492
18 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14768.6	(delta): 27.1732
19 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14752.9	(delta): 15.709
20 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14718.1	(delta): 34.7603
21 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14695.5	(delta): 22.6729
22 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14680.6	(delta): 14.8244
23 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14674.5	(delta): 6.11983
24 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14663.9	(delta): 10.6309
25 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14647.4	(delta): 16.4503
26 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14639.3	(delta): 8.18807
27 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14635.1	(delta): 4.16767
28 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14627	(delta): 8.12354
29 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14622.8	(delta): 4.18797
30 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14610.7	(delta): 12.0748
31 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14599.9	(delta): 10.829
32 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14594.4	(delta): 5.49398
33 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14590.2	(delta): 4.15817
34 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14587.7	(delta): 2.50355
35 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14585.3	(delta): 2.44362
36 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14577.9	(delta): 7.40582
37 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14566.1	(delta): 11.7671
38 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14556.6	(delta): 9.53691
39 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14550	(delta): 6.59292
40 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14545.9	(delta): 4.07618
41 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14543	(delta): 2.87079
42 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14535.7	(delta): 7.30805
43 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14530.4	(delta): 5.34177
44 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14525.9	(delta): 4.46083
45 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14522.7	(delta): 3.18067
46 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14518	(delta): 4.70989
47 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14514	(delta): 4.00204
48 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14506.4	(delta): 7.5711
49 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14494	(delta): 12.4951
50 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14483.2	(delta): 10.7145
51 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14476.7	(delta): 6.5171
52 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14473.4	(delta): 3.36228
53 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14458.5	(delta): 14.8495
54 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14446.1	(delta): 12.4415
55 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14435.9	(delta): 10.1947
56 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14432.9	(delta): 2.93245
57 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14432	(delta): 0.972774
58 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14427.8	(delta): 4.16357
59 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14426.5	(delta): 1.31147
60 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14425.5	(delta): 1.00194
61 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14424.3	(delta): 1.15593
62 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14422.3	(delta): 2.05135
63 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14419.8	(delta): 2.46126
64 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14418.6	(delta): 1.19853
65 (QN/EM) 	Elapsed: 0.015	Loglikelihood: -14414.5	(delta): 4.17042
66 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14411.4	(delta): 3.03853
67 (QN/EM) 	Elapsed: 0.014	Loglikelihood: -14409	(delta): 2.39379
