P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
colonus	albicilla	chloris	0.248899	2.33175	0.0098569	0.238391	89.2241	48.4451	29.1354
chloris	albicilla	sanctus	0.169233	2.62592	0.00432079	0.301543	114.697	45.5851	32.3893
saurophagus	albicilla	chloris	0.253362	1.77759	0.0377357	0.107612	148.99	17.9564	10.6968
albicilla	chloris	sordidus	0.0671386	0.755454	0.224988	0.0513513	70.5582	48.6825	42.5568
tristrami	albicilla	chloris	0.207011	1.95451	0.0253207	0.159286	107.919	32.9271	21.6326
colonus	albicilla	sanctus	0.175081	1.50433	0.0662486	0.251645	141.175	34.1837	23.9973
saurophagus	albicilla	colonus	0.128796	1.11994	0.13137	0.0419404	110.285	21.6342	16.6972
colonus	albicilla	sordidus	0.25494	2.3142	0.0103283	0.127389	109.284	42.1168	25.0048
tristrami	albicilla	colonus	0.107792	0.928414	0.176596	0.0703859	75.9009	43.0018	34.6333
saurophagus	albicilla	sanctus	0.160593	1.09745	0.136222	0.105248	213.328	13.1828	9.53457
sordidus	albicilla	sanctus	0.17353	3.02702	0.00123488	0.353448	96.8692	55.7588	39.2686
tristrami	albicilla	sanctus	0.230628	2.24177	0.012488	0.257001	171.976	27.8722	17.4253
saurophagus	albicilla	sordidus	0.430514	2.32182	0.0101213	0.0883199	177.414	18.3795	7.31685
saurophagus	albicilla	tristrami	0.0176168	0.167824	0.433361	0.0197599	83.4935	27.5152	26.5625
tristrami	albicilla	sordidus	0.24719	2.02561	0.0214022	0.096577	133.837	30.8428	18.6169
chloris	colonus	sanctus	0.0395672	0.418078	0.337945	0.0770982	103.136	44.1036	40.7463
colonus	saurophagus	chloris	0.15558	1.23881	0.107708	0.154477	88.8071	46.057	33.6553
sordidus	colonus	chloris	0.00595669	0.0711664	0.471633	0.00911497	38.3513	62.5412	61.8005
colonus	tristrami	chloris	0.0998525	0.868804	0.192477	0.107118	90.4821	47.3615	38.7619
chloris	saurophagus	sanctus	0.130989	1.67143	0.0473182	0.239741	111.978	45.5349	34.9874
sordidus	chloris	sanctus	0.030605	0.501128	0.308141	0.0589519	108.355	45.9802	43.2494
chloris	tristrami	sanctus	0.044489	0.670803	0.251173	0.0826866	112.022	42.7036	39.0658
sordidus	saurophagus	chloris	0.118436	1.57558	0.0575614	0.174562	37.7705	69.0124	54.3963
tristrami	saurophagus	chloris	0.0670664	0.730248	0.232619	0.0556539	114.852	31.6011	27.6288
sordidus	tristrami	chloris	0.0828103	1.11898	0.131575	0.126374	40.7461	69.179	58.5978
colonus	saurophagus	sanctus	0.120699	1.02557	0.152548	0.183085	141.336	34.6058	27.1518
sordidus	colonus	sanctus	0.0532406	0.632495	0.263532	0.116812	86.7683	51.9261	46.6764
colonus	tristrami	sanctus	0.0136556	0.127716	0.449187	0.0216791	142.629	32.759	31.8764
colonus	saurophagus	sordidus	0.0994143	0.810182	0.208918	0.0509469	109.95	37.3661	30.6085
tristrami	saurophagus	colonus	0.0429974	0.413997	0.339438	0.0288143	79.582	40.8617	37.4926
colonus	tristrami	sordidus	0.0751278	0.637415	0.261927	0.0446136	112.06	42.0231	36.1501
sordidus	saurophagus	sanctus	0.131508	1.89489	0.0290535	0.286644	92.3259	57.1244	43.846
tristrami	saurophagus	sanctus	0.143567	1.1756	0.119878	0.171471	176.964	27.2704	20.4231
sordidus	tristrami	sanctus	0.0629699	0.960256	0.168463	0.137483	94.6392	53.7538	47.3851
tristrami	saurophagus	sordidus	0.0219605	0.171058	0.432089	0.00921165	141.561	27.0681	25.9048
