P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
colonus	albicilla	chloris	0.311773	1.49216	0.0678286	0.23445	17.341	13.6735	7.17386
chloris	albicilla	sanctus	0.0070823	0.0463448	0.481518	0.0117434	27.6694	8.72175	8.59908
saurophagus	albicilla	chloris	0.465079	1.81416	0.0348264	0.106523	35.5819	4.15551	1.51723
sordidus	chloris	albicilla	0.103487	0.724578	0.234356	0.0482332	15.9358	13.0024	10.5636
tristrami	albicilla	chloris	0.356927	1.90331	0.0285002	0.148719	24.3626	7.21367	3.41869
colonus	albicilla	sanctus	0.30778	1.74989	0.040069	0.298791	31.0406	9.46959	5.01234
saurophagus	albicilla	colonus	0.322901	1.02464	0.152766	0.0728544	31.4222	3.66333	1.875
colonus	albicilla	sordidus	0.409203	1.97576	0.0240911	0.19089	19.8737	13.7674	5.77187
tristrami	albicilla	colonus	0.271918	1.52106	0.0641226	0.16042	23.2645	9.76751	5.5912
saurophagus	albicilla	sanctus	0.118521	0.554995	0.289449	0.0352294	52.1566	1.78257	1.4048
sordidus	albicilla	sanctus	0.00441676	0.027322	0.489101	0.00874604	27.1351	10.6263	10.5329
tristrami	albicilla	sanctus	0.255059	1.39301	0.0818089	0.181943	41.823	5.72651	3.39897
saurophagus	albicilla	sordidus	0.71255	2.18902	0.0142978	0.110048	38.6766	4.8114	0.807589
saurophagus	albicilla	tristrami	0.121274	0.5548	0.289516	0.103322	19.5029	5.28792	4.14407
tristrami	albicilla	sordidus	0.363802	1.9703	0.0244021	0.105524	26.7556	7.16793	3.34375
colonus	chloris	sanctus	0.208673	1.57236	0.0579333	0.289582	24.052	12.5108	8.19089
colonus	saurophagus	chloris	0.180699	0.869892	0.19218	0.138286	17.1327	12.6152	8.75386
sordidus	chloris	colonus	0.195766	1.46526	0.0714254	0.108755	21.4498	12.0168	8.08212
colonus	tristrami	chloris	0.118776	0.658629	0.255067	0.0951827	15.8502	12.5171	9.8593
saurophagus	chloris	sanctus	0.0146797	0.0907602	0.463842	0.0237895	25.2483	8.81632	8.56123
chloris	sordidus	sanctus	0.00187473	0.0145502	0.494195	0.00279689	29.7812	7.80672	7.7775
tristrami	chloris	sanctus	0.11362	0.885359	0.187982	0.172354	26.0805	10.8052	8.60038
sordidus	chloris	saurophagus	0.180053	1.40152	0.0805293	0.0759628	18.0383	12.4666	8.66231
tristrami	saurophagus	chloris	0.0933437	0.487889	0.312814	0.0426505	25.1141	6.40829	5.31408
sordidus	chloris	tristrami	0.106824	0.835521	0.201712	0.0733345	19.514	12.7857	10.3177
colonus	saurophagus	sanctus	0.28169	1.57965	0.0570935	0.273467	29.4413	9.28082	5.20134
colonus	sordidus	sanctus	0.181781	1.38898	0.0824193	0.292526	21.7474	14.1848	9.82098
colonus	tristrami	sanctus	0.125591	0.688536	0.245558	0.143812	29.3203	9.61364	7.46831
colonus	saurophagus	sordidus	0.209894	0.925067	0.177466	0.0976314	19.8266	11.5048	7.51304
tristrami	saurophagus	colonus	0.131688	0.712496	0.238079	0.0752203	24.1962	9.9922	7.66673
colonus	tristrami	sordidus	0.18652	0.989965	0.161096	0.0999624	19.056	13.3175	9.13048
saurophagus	sordidus	sanctus	0.012321	0.0768032	0.46939	0.0265141	24.2784	11.6799	11.3956
tristrami	saurophagus	sanctus	0.209906	1.10899	0.133717	0.148252	40.8321	5.43916	3.55188
tristrami	sordidus	sanctus	0.0958341	0.734718	0.231255	0.174638	25.5511	12.7731	10.539
saurophagus	tristrami	sordidus	0.0195233	0.0984976	0.460769	0.00647732	28.5904	6.32236	6.08022
