#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.defunct" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <OneOnX id="OneOnX.2" name="distr"/>
#        </prior>
#        <distribution id="snapprior.defunct" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.defunct" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.defunct" spec="snap.Data">
#                    <taxonset id="alb" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_albicilla_22611" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="chlor" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_chloris_12584" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="col" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_colonus_2003089" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="leuc" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_leucopygius_32019" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="sanct" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_sanctus_25117" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="saur" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_saurophagus_27804" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="sord" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_sordidus_B33720" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="tris" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="T_tristrami_27752" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#        <prior id="uPrior.defunct" name="distribution">
#            <parameter id="u" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.4" name="distr"/>
#        </prior>
#        <prior id="vPrior.defunct" name="distribution">
#            <parameter id="v" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.defunct" id="treeLikelihood.defunct" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.defunct">
#            <siteModel id="MutationSiteModel.defunct" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" mutationRateU="@u" mutationRateV="@v" spec="snap.likelihood.SnapSubstitutionModel"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	u	v	theta0	theta1	theta2	theta3	theta4	theta5	theta6	theta7	theta8	theta9	theta10	theta11	theta12	theta13	theta14	TreeHeightLogger
0	-2532.6405158757616	-1737.311242524521	-795.3292733512408	1.0	1.0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.14770299860700153	0.2	0.2	0.2	0.2	0.2	0.33355780354414216
1000	-2135.87558098554	-1392.758118380245	-743.1174626052954	8.61980332288104	0.5307889230882622	0.14106277727812297	0.1247623391089488	0.110215192030815	0.15751874533597457	0.14716037560298834	0.12543052774789548	0.12353300707651248	0.1250933766725498	0.11640617279199725	0.0731218665174822	0.09970978215251189	0.17985140504828823	0.08025224705224705	0.07564703620948575	0.08808551357968164	0.14940073986831626
2000	-2125.9350674470543	-1391.5679418245645	-734.3671256224899	10.66128784196356	0.5246031806094069	0.09484544291119429	0.09660763951516273	0.11390870915760098	0.12708352479955523	0.11854332950655339	0.10465036188113733	0.10564578617556768	0.11274490174430996	0.1452188376567787	0.08937285243244056	0.07107640777523382	0.13555331084217123	0.03637819034793408	0.09223979134302802	0.10319370376032823	0.09021063257049816
3000	-2123.033059096997	-1381.546001442894	-741.4870576541031	8.95130115958799	0.5295812437965692	0.058912291296616966	0.06862983439591487	0.08794564497231329	0.14045288478445742	0.11910562973843188	0.1251644127438053	0.12879587661251213	0.133401807804229	0.04104626169101842	0.06017821014476896	0.13769762316653217	0.06713113202504775	0.19370022080413268	0.11363088075743052	0.1124051050872258	0.10985778599695169
4000	-2114.7665969719746	-1378.3326488594696	-736.4339481125052	10.777404816174633	0.5243252070412318	0.11870071693038842	0.08840987399795089	0.05517196633804711	0.09999066008891312	0.13435615000850196	0.1442000706913866	0.12106329558936701	0.11475897180961533	0.03139287257613034	0.10889354346619896	0.09994053312160346	0.09319444023540335	0.10244158243195423	0.12526611757100534	0.08938809323420127	0.08065919518333708
5000	-2125.9680318073124	-1379.7984287104018	-746.1696030969105	8.684896390898288	0.5305440640981116	0.048505812596529585	0.15852703990593517	0.05912957570144505	0.14812523689236842	0.12603839176156112	0.0942854285730728	0.06994257337786781	0.1270654663720856	0.02976218143879709	0.13393969121731697	0.08711254926250833	0.08373216956702002	0.1324179765007988	0.09188224678819677	0.13563266195599047	0.08973544711352964
6000	-2113.217763416095	-1376.2864561485737	-736.9313072675211	9.243624669459992	0.5285922611560864	0.1213313522722405	0.08598559017019905	0.06706874459534881	0.15241596391777437	0.1375123966513668	0.09856837896723435	0.10117173455273719	0.0778922451124217	0.044217313021127365	0.08303471356236536	0.08101965662388916	0.11782626131058797	0.08703642581455502	0.08836793823962176	0.18539205426287772	0.07964529284976095
7000	-2119.2344221238436	-1377.3093995367954	-741.9250225870485	12.185531924800372	0.5213939768945752	0.07150419621772668	0.06730807369011536	0.0659892153491274	0.1098940820600514	0.11480217062686082	0.1395769067356826	0.13793652948613427	0.098033950037889	0.02570278158813209	0.07473840253699836	0.11518408670139302	0.10782013817047455	0.13349541273082371	0.05877517228421067	0.10764712446172174	0.05808288687502109
8000	-2124.211899033392	-1378.5385572938485	-745.6733417395436	7.6251238984687975	0.5350871091594246	0.10123490851004435	0.139655094954108	0.10522416345605409	0.16497375152595076	0.18951414062694907	0.11206225625407643	0.12134308518237484	0.1582358004200178	0.03315020879872083	0.06889387515226253	0.08256545756603678	0.1426155061403381	0.09087086741729192	0.07289755422598398	0.050711265066302635	0.1670258995876296
9000	-2117.9341019528074	-1377.6384321661833	-740.2956697866243	10.092947164416037	0.5260608127737164	0.06590074450425477	0.13385819994342124	0.05862444162737848	0.13415510324162436	0.10178287585730604	0.10570010184901014	0.07698190463442946	0.08642046312441667	0.03600944757517449	0.07413562489396885	0.057656625216436094	0.08391820600278564	0.10117490964903576	0.08769632035081334	0.10720792193759185	0.06645179108039781
10000	-2118.2657804094933	-1384.1205301915084	-734.1452502179851	9.286412263081317	0.5284530241143417	0.10388545570737008	0.10887879195527021	0.10087144549689164	0.1801338925472317	0.15205154780842442	0.0977508244237506	0.12908872402439345	0.09707829929753108	0.05186848751679441	0.07896444990884798	0.14255217275950352	0.1433660693151499	0.09256981409783217	0.09633134400335173	0.0997127200844929	0.10203592149834248
